acn,Report_1_Synopsis,Assessments_Primary_Problem
2221714,A320 pilot reported airframe vibration resulted in a divert with expeditious handling to a safe landing.,Aircraft
2085548,C172 pilot reported the main tires blew out on landing due to having to use maximum braking to avoid a head-on collision with a helicopter. The helicopter pilot had thought the reporter's aircraft was still on base according to what was seen on the ADS-B.,Human Factors
2054193,Air carrier flight crew inadvertently released brakes at the gate before aircraft was chocked.,Human Factors
2014926,RV-8 pilot reported the landing gear struck an approach landing light during landing resulting in aircraft damage.,Human Factors
1872503,Pilot reported having to stop for a vehicle in the aircraft's path during pushback.,Human Factors
1930358,Center trainee reported they observed a MSAW Alert for an aircraft too low for radio coverage that was above their Minimum IFR Altitude but on the boundary of another facility.,Airspace Structure
1885687,Air Carrier Captain reported he was notified the day following the flight that he had signed the Dangerous Goods Form in the wrong location rather than in the Captain's signature block. The Captain stated he was trying to expedite because was the flight operating was late.,Human Factors
2223789,737-800 Flight crew reported moderate to severe turbulence during descent.,Weather
1823143,Air Carrier Captain reported IAH is using an unpublished Tower frequency.,Procedure
2271668,"DG-1000 sail plane pilot reported losing control of the aircraft upon landing after the instructor who was sitting in the rear seat; unaware of the open spoiler position; pulled the spoiler. The reporter suggested that the aircraft should have markings or placards to indicate the position of the spoiler control lever.; ""C172R Pilot reported engine knocking after takeoff resulted in expeditious handling return to departure airport with a flat tire on landing.""",Aircraft
1900135,Deadheading Captain reported difficulties in opening the main cabin door. Deadheading Captain also reported contacting CFR when it was apparent that there was a need for them to be at the aircraft in case a fire broke out.,Aircraft
1872678,Air carrier First Officer reported glide slope and takeoff configuration warning anomalies on arrival into MCO; citing possible 5G interference as the cause of the issues.,Environment - Non Weather Related
2147066,A TRACON Departure Controller reported a departing aircraft entered the subsequent sector without a handoff and into possible confliction. The reporter was unfamiliar with the newly designed RDVS and could not accomplish the required coordination in a timely manner.,Company Policy
2198535,CRJ-200 flight crew reported a fumes event due to an uncontrollable cabin temperature system which resulted in cabin smoke. The flight crew was provided priority handling where a safe landing was accomplished.,Aircraft
2051672,B757 Captain reported Oxidize 5.1 ADG (Accessible Dangerous Goods) ULD was incorrectly loaded onto an IDG (Inaccessible Dangerous Goods) ULD Unit Load Device during preflight. Ultimately the Oxidizer was removed to be correctly loaded onto an ADG ULD on a subsequent flight.,Human Factors
1919396,GA7 pilot reported rejecting the takeoff after experiencing violent nose wheel vibrations due to shimmy damper failure.,Aircraft
1934375,EMB-145 flight crew reported another aircraft crossing runway while they were on short final.,Human Factors
2204047,Air taxi flight crew reported ATC assigned an altitude below the Minimum Enroute Altitude on the STAR and they received a Ground Proximity warning.,Procedure
2208829,Flight Instructor with student reported executing a low altitude go-around at TTN airport when another aircraft taxied onto the runway.,Human Factors
2064340,Embraer 175/170 First Officer reported multiple system equipment failures at cruise that affected landing distance. The crew diverted and landed safely at the alternate airport.,Aircraft
2064101,Aircrew reported while transitioning Class D airspace to their destination ATC advised them of traffic and to expedite their descent.  Aircrew reported traffic insight and was told frequency change approved.  Aircrew reports while entering downwind they took evasive action to avoid the same traffic.  The aircrew then continued to land without further incident.,Procedure
2073520,Air carrier flight crew reported a taxiway incursion at MCI. First Officer stated an outdated taxi diagram and snow obscuring taxi lanes contributed to the event.,Ambiguous
2190725,B737-900 Captain reported encountering wake turbulence on descent into IAH 5 miles in trail of a B737 MAX 9.,Ambiguous
1794544,Flight Instructor reported taking evasive action to avoid an aircraft with loss of power returning to field.,Environment - Non Weather Related
2165834,A Decathlon pilot reported loss of oil pressure than engine failure due to oil cap not being secured.,Aircraft
2098913,Air carrier flight crew reported GPS jamming and spoofing occurred and the aircraft lost RNP navigation. Due to the aircraft not being where the flight crew thought it was; the flight crew did not call ATC ahead in time.,Ambiguous
2033815,B757 Captain reported releasing the parking break and initiating gate pushback prior to sending Dispatch the DG Acknowledgement message.,Human Factors
1787070,A321 flight crew reported fueling door damaged during flight retraction at gate.,Human Factors
2003750,Air carrier pilot reported ramp personnel failure to follow procedures resulted in being inches from chocked nose wheel as aircraft was still parking.,Procedure
2047330,Tower Controllers reported ground vehicles failed to communicate and follow hold short instructions resulted in taking evasive action to avoid landing traffic.,Procedure
1962693,A321 First Officer reported an ECAM Caution Message: WHEEL N/W STRG FAULT in  cruise. The flight crew ran the QRH and check lists. The flight crew requested priority handling and performed an air turn back and precautionary landing at departure airport.,Aircraft
2292047,PC-12NG pilot reported a pressurization failure resulted in an expeditious descent and diversion to a safe landing.,Aircraft
1983280,PA-28 General Aviation Pilot reported while flying VFR; with flight following from ATC; receiving traffic advisories they observed another aircraft crossing their flight path. ATC did not provide any traffic conflict advisories as the conflicting aircraft crossed the same flight path and 300 feet below; resulting in an NMAC. The pilot continued to destination after the airborne conflict with no comment from ATC.,Human Factors
2034222,Air carrier flight crew reported a runway incursion while taxiing in low visibility weather in BOS and taxied past the ATC assigned runway hold short point. The Captain contacted ATC and received further taxi instructions.,Procedure
1999844,C172 pilot reported engine roughness and loss of power in cruise. The pilot diverted to make a precautionary landing.,Aircraft
1808608,Air carrier flight crew reported executing a go-around at SAN when it became clear another air carrier aircraft was in position for takeoff on their landing runway.,Human Factors
2004662,B737 MAX Captain reported airframe vibration in flight which increased during climb and acceleration. The flight crew was unable to determine the cause of the vibration and landed the aircraft safely.,Aircraft
2217389,EMB145 First Officer reported an autopilot disconnect and stick shaker activation after a wind-shear encounter during approach.  Crew executed a go around and landed normally.,Weather
1868876,CE-525 Pilot reported taxiway excursion due to icing.,Weather
1938859,Pilot reported an unstable approach caused them to land long and go off the end of the runway onto the overrun. While attempting to taxi back onto the runway the nose gear collapsed.,Human Factors
1919361,Cessna 172 pilot reported a rejected takeoff due to loss of power.,Aircraft
1811597,Pilot reported aborting takeoff at 75 feet AGL after engine power loss and landing on remaining runway.,Aircraft
2209383,An Air Carrier Captain reported they attempted to turn out of their gate after push back and the aircraft slid on ice toward an aircraft parked at an adjacent gate.,Weather
2021158,Flight Instructor reported debris from Canadian fires has been found in pitot tubes on multiple aircraft causing pitot static related instrument failures/malfunctions.,Weather
2104384,Ramp Agent reported an aircraft near miss with a ground object while flight crew utilizing an automated parking device. The Agent observed the aircraft misalignment; signaled the Captain to stop the aircraft; preventing aircraft damage.,Ambiguous
2167443,B737 First Officer reported during pre-flight walk around finding a hydraulic line disconnected in the wheel well. No documented maintenance of disconnected line in maintenance history.,Aircraft
2294815,Challenger 300 pilot reported an auto pilot malfunction resulted in a course deviation and low altitude alert from ATC.,Human Factors
1896357,A319 Captain reported an APU failure in flight with the #2 IDG on MEL. The flight crew requested priority handling and diverted.,Aircraft
1824526,A321 Captain reported confusion during a Bump Thrust takeoff which resulted in the aircraft entering Alpha Floor; requiring the Captain to assume control and descend 300 additional feet to recover airspeed.,Human Factors
2138693,Flight Instructor reported a near miss during takeoff from a non-towered airport; with a helicopter flying directly over the takeoff runway. The instructor rejected the takeoff when another aircraft identified the possible near miss and called a reject on the radio.,Human Factors
1863284,C172 flight instructor reported ATC failure to separate traffic in pattern resulted in an NMAC on downwind entry to CMA.,Procedure
1922375,Ramp Agent reported observing a parked aircraft had struck a power tow unit which was inside the safety zone.,Human Factors
2177598,Air carrier flight crew on approach reported receiving a low altitude alert by ATC.,Human Factors
1807279,Pilot reported that charts for PGSN airport advise there are VASI lights; but there aren't any and there is no plan to install them.,Airport
2184470,PC-12 pilot reported receiving a low altitude alert from ATC when they descended below glide slope significantly after entering visual conditions on approach.,Human Factors
2046049,PA28 Instructor and student reported turning after landing with excessive speed resulting in a loss of control and taxiway excursion.,Human Factors
1982492,CRJ-200 flight crew reported cabin altitude discrepancies during the climb. The flight crew then donned oxygen masks and safely diverted to an alternate airport.,Aircraft
2133345,MU2 pilot reported main gear collapse on taxi out. Pilot and passengers evacuated aircraft safely.,Aircraft
1960872,Piper Cherokee Pilot reported being advised by ATC that another aircraft had reported a NMAC with them. They had been issued the traffic but never got it in sight.,Human Factors
2010999,PA28 flight instructor on training flight with student reported engine malfunction inflight.,Aircraft
1883962,Air Carrier Pilot Crew reported the Captain failed to set the parking brake and the ground crew failed to insert chocks at gate arrival. The aircraft began to roll back before brakes were applied. No injuries or damage occurred.,Human Factors
1970208,B737 flight crew reported after changing to the next Controller they were ask which fix they were flying too. The Controller changed the fix on the STAR and said you are getting too close to high terrain.,Ambiguous
1873497,Cessna 172 student pilot reported loss of directional control on landing roll; resulting in a runway excursion.  No damage or injuries reported.,Human Factors
1987890,Flight crew and Dispatcher reported catastrophic failure of the #2 engine in climb and performed an air turn back and precautionary landing at departure airport.,Aircraft
2039748,Flight Instructor and student reported their single engine aircraft lost power on short final and they landed safely in a field short of the runway.,Aircraft
2032092,Air taxi turbine pilot reported a duct and bleed fail light during high altitude climb to cruise altitude prior to oceanic entry point. The pilot requested a return to the departure airport and landed overweight safely.,Aircraft
2195688,Air carrier flight crew reported cargo that should have been unloaded from a previous flight was found during a postflight walkaround. This resulted in an incorrect weight and balance as the hazmat was undocumented.,Human Factors
1999226,Air carrier ground shipping personnel reported the erroneous shipment of a dangerous goods parcel as regular cargo instead of following hazmat shipment procedure.,Procedure
2271389,DA40 flight school instructor and student reported a dual ECU failure and diversion to nearby airport.,Ambiguous
2113557,B767 air carrier flight crew reported an engine malfunction during climb to cruise altitude. The flight returned to the departure airport and landed safely.,Aircraft
2143473,C172 pilot reported a divert due to high oil pressure and experienced a down draft during landing.,Ambiguous
2014510,A321 Flight Attendant and Captain reported a fumes event during initial approach for landing.,Aircraft
1996106,Hawker 4000 flight crew reported complying with a TCAS RA during departure climb out from a non-towered airport.,Human Factors
2068779,Air carrier flight crew reported being notified that the flight departed without the NOTOC on a previous flight. The flight crew turned in the flight documents at destination and could not verify whether the document was submitted or not.,Human Factors
1887585,B737 pilot reported they inadvertently descended below the glideslope.,Human Factors
1917297,B737 Captain reported during preflight checks; the crew O2 pressure dropped to below minimums. The Captain called maintenance to check the Crew O2 Bottle Valve and found it to be opened a quarter turn and the Technician made repairs as required.,Procedure
1795635,B757 flight crew reported loss of B hydraulic system caused a go around and a precautionary landing.,Aircraft
1851907,Tower Instructor reported a conflict when an arrival aircraft lined up for the incorrect runway.,Human Factors
1965790,Flight Instructor reported an NMAC event during landing pattern training. The Instructor took evasive action to avoid a none reporting aircraft.,Human Factors
2153494,G200 pilot reported the slat and flaps did not extend during approach. Flight crew diverted and landed safely.,Aircraft
2044287,A Tower Controller reported they had to vector an IFR helicopter that departed from a nearby hospital below the minimum vectoring altitude to avoid conflicting traffic.,Procedure
2124556,B737 Captain reported a loss of control on ramp when plane rolled back into a ramp depression at the gate.  While attempting to pull further forward Captain noticed a ramp person with chocks under his window prior to it being safe to approach the aircraft.,Airport
2240153,C172 pilot reported loss of directional control during landing rollout resulted in runway excursion and contact with runway light.,Ambiguous
2028869,C182 pilot reported taking evasive action to avoid aircraft crossing through traffic pattern; resulted in a NMAC situation.,Human Factors
2242601,C177 pilot reported a loss of aircraft control due to a windshear event during takeoff. The event resulted in a runway excursion with no injuries or aircraft damage.,Weather
2180127,SR20 Flight Instructor and student reported receiving a high cylinder head temperature warning message in flight. Flight crew returned to departure airport and landed safely.,Aircraft
2298060,Air carrier pilot reported the useable portion of Taxiway Y at ORD airport was difficult to distinguish from the unusable portion; which was blocked by flashing barricades.,Aircraft
2256812,PA-34 Flight Instructor reported they had to lower the gear manually due to a landing gear malfunction.,Aircraft
2134031,Air carrier pilot reported ground crew pushed the aircraft back toward another aircraft; resulting in a near collision. After that conflict was resolved; the tug driver then almost pushed the aircraft into a catering truck.,Human Factors
1935009,DA40 Flight Instructor reported aircraft had a hard landing and or return to airport loss of brake control resulted in runway excursion.,Aircraft
1825732,Captain reported a near upset shortly after takeoff from DFW when his aircraft was affected by jet blast from a taxiing wide body aircraft.,Ambiguous
2298756,B777 flight crew reported a 'Gear Door Position Disagree' EICAS message when selecting gear up after takeoff. Crew diverted and made a normal landing.,Aircraft
2242231,Air carrier Captain reported takeoff delay due to minimal spacing with a landing aircraft. The flight was re-cleared once arriving aircraft had passed.,Procedure
2254683,EMB-145 Flight Attendant reported receiving a call from the pilots that the flight was returning to the departure airport due to an engine malfunction. The flight landed and taxied to the gate.,Aircraft
2178330,PC-12 air ambulance pilot reported a ground collision with a golf cart on the ramp due to aircraft movement after the pilot set the parking brake and while shutting down the engine. The ground crew attempted to alert the pilot of the aircraft movement but the pilot was unaware of the movement or ground crew warnings.,Ambiguous
1902044,Air Carrier Captain reported a 'dirty socks' odor of increasing intensity during departure taxi. After receiving a flight attendant call regarding the fumes the Captain requested a Ground return where Maintenance assigned an aircraft swap.,Aircraft
1901486,ZDC Controller reported issues relating to changes in the Florida Metroplex routing.,Procedure
1858072,B737 MAX 8 Captain reported the EFIS Control panel malfunctioned preventing them from setting the correct Touchdown Zone Elevation altitude. The reporter stated this is a recurring issue on the MAX 8 aircraft and could pose a safety of flight issue.,Aircraft
2264475,Pilot reported flying low over mountains to avoid poor weather conditions while continuing to destination with the ammeter discharging.,Human Factors
1892114,Dispatcher reported a B757-200 flight had a slat disagree light resulted in an air turn back and precautionary landing at departure airport.,Aircraft
2132136,B737 First Officer reported encountering wake turbulence climbing through FL325 after passing underneath a B747 that was approximately 12 - 13 miles away.,Procedure
2034424,General aviation pilot reported being notified that his aircraft was involved in a near miss during daylight; VMC conditions at cruise. The pilot indicated they were not communicating with ATC; in uncontrolled airspace; was not alerted by ADS-B in the aircraft; and not aware of the near miss until being contacted after the event.,Ambiguous
2254866,Air taxi First Officer reported having communication problems with ANC Ground Control that may be due to interference from construction causing a radio dead zone on the ramp area.,Airport
2110231,General aviation pilot reported a near miss with another aircraft in the traffic pattern while following an incomplete ATC clearance. The pilot then maneuvered away from traffic on the parallel runway; to avoid a collision,Human Factors
1933537,Inspector reported non compliance with required procedures for the inspection of the super crown area of a B737-700 in for overnight service.,Procedure
2227565,SR20 flight crew reported the loss of aircraft control during a soft field takeoff in which the aircraft sustained a wingtip strike.,Human Factors
2028158,C172 instructor pilot reported the student's final approach was too slow and a gust of wind lifted the wing resulting in a runway excursion and contact with a runway light.,Weather
2104838,GA pilot reported a NMAC while in the traffic pattern of a non-towered airport requiring evasive action.,Human Factors
2002981,Flight instructor reported an NMAC event during departure for a training flight with an intruder aircraft entering the traffic pattern incorrectly. Flight instructor altered the landing pattern to avoid a conflict.,Procedure
2279799,Embraer 145 Flight Attendant reported a hot cabin with passengers suffering after a maintenance delay and passenger loading discrepancy. The discrepancy was resolved and the flight departed for the destination.,Aircraft
1946586,Recreational/Hobby UAS pilot reported flying a UAS with expired registration.,Human Factors
2144790,B747 flight crew reported receiving a fire alert in the aft cargo compartment while on final approach. Flight crew completed appropriate checklist and continued to landing where they were met by airport response crews who determined indications of fire no longer existed.,Aircraft
1922037,Technician reported striking the fuselage of the aircraft with an oil cart during routine engine service. The aircraft was removed from service for repairs.,Human Factors
1865012,TRACON Controller reported H25B failed to respond to radio communication while descending and flying erratic course; resulted in entering a higher MVA.,Aircraft
2270487,B737 NG Captain reported ground personnel attempted to open the main cabin door while it was armed.,Ambiguous
1930344,GA pilot reported an NMAC while turning to enter the traffic pattern when an aircraft flew directly below them without announcing their position. The pilot made an immediate climb to avoid the aircraft then returned for landing.,Human Factors
2159137,Flight Instructor reported a NMAC and had observed their solo student on short final with another aircraft also on short final abeam them.,Environment - Non Weather Related
1890242,A pilot reported they took evasive action while departing AUO non-towered airport to avoid an aircraft overflying mid field 500 feet below Traffic Pattern Altitude.,Human Factors
1897257,A320 flight crew reported a 'sweaty socks' odor which lasted for 5 minutes during descent and also at gate.,Aircraft
1782995,Cessna Twin Piston aircraft pilot reported the windshield anti-ice system was inoperative in icing conditions.,Aircraft
2182023,Pilot reported an NMAC while entering the traffic pattern at an airport with an operating control tower. Tower controller vectored the reporter's aircraft away from traffic.,Ambiguous
2229638,A small aircraft Flight Instructor reported a NMAC at a non-towered airport.,Human Factors
1894363,First Officer reported severe turbulence encounter resulted in a temporary lose of control.,Weather
2174998,Air carrier flight crew reported a Wing Body Overheat warning and returned to departure airport.,Aircraft
1910075,PA-28 pilot reported a decrease in engine RPMs during climbout resulting in an immediate return to the departure airport.,Aircraft
1966359,C680 First Officer reported EICAS Messages; EMERGENCY PRESSURIZATION and ACM BLEED LEAK were received. The flight crew immediately donned oxygen masks and descended. The flight crew elected to divert and make a precautionary landing.,Aircraft
1970159,Air Carrier Captain reported receiving information the push-out tug driver stated the aircraft's wing passed over the driver's tug after the salute. The Captain states being unaware of this occurrence and was never contacted until the safety committee ask for a report.,Ambiguous
2183816,Grob Glider pilot reported during training maneuver; entanglement of tow line resulted in temporary loss of control with aircraft damage.,Human Factors
2054920,Experimental aircraft pilot reported the aircraft had intense engine vibrations that led to vital components coming off the aircraft that then resulted in an off-airport landing. The aircraft was having problems days before the flight that seemed to be resolved; but the pilot stated the crankshaft failure may be unrelated.,Aircraft
1817674,Pilot reported encountering another aircraft during taxi and was forced to deviate around with his wing passing under the other aircraft's wing.,Human Factors
1861637,Do 328 flight crew reported a runway excursion during landing rollout and cited a strong crosswind and patchy ice on the runway as contributing factors.,Weather
1805293,EMB-145 flight crew reported severe weather in cruise.,Weather
2303543,PA-28 pilot reported descending too low toward terrain; then climbing back up.,Aircraft
2038581,A330 flight crew reported inflight engine fire. Flight crew returned to departure airport and performed an overweight landing.,Aircraft
2292490,Air carrier Flight Attendant reported a malfunctioning toilet resulted in harsh fumes released into the cabin that caused physiological reactions among crew and passengers.,Aircraft; Aircraft
1859003,A319 Captain reported a Flight Attendant notified the flight crew on three occasions of fumes in the passenger cabin. Upon arrival Captain entered the discrepancy in the aircraft logbook.,Aircraft
1946650,Air carrier Captain reported there is reduced taxi clearance at BNA during the construction. The Captain states there are only inches of space between aircraft winglets and believes one taxi line; instead of two; would improve the situation.,Ambiguous
2178195,B757 flight crew reported a fumes event during descent and continued to a safe landing at destination.,Aircraft
2152585,Air carrier Captain reported a near miss with an aircraft under tow while taxiing to the gate. The tug driver did not follow ramp instructions and the Captain had to stop the aircraft short of the gate to avoid a conflict.,Human Factors
2118616,B737 Flight Attendant reported hearing a loud noise from cabin boarding door due to air leak during climb. The flight returned to the airport and maintenance found a clogged lower spring seal not closing properly.,Aircraft
2128451,Reporter stated a student had a ramp excursion during taxi which resulted in the aircraft going into a ditch and incurring damage.,Ambiguous
2206329,PA-28 student pilot reported during landing they lost control of aircraft on touchdown due to wind gust. The student pilot over corrected with right rudder and applied incorrect brake pressure which caused them to veer left off the runway.,Weather
1840015,Air Carrier First Officer (PNF) reported engine bangs and the right engine ITT momentarily going to a high reading. All occurred shortly after takeoff. The aircraft returned to the departure airport.,Aircraft
2135006,A319 air carrier flight crew reported an engine malfunction during cruise. The crew continued to destination and landed without incident.,Aircraft
2124003,Air carrier flight crew reported they were advised of possible wingtip contact with a pole during taxi at BNA in their efforts to avoid another air carrier aircraft.,Human Factors
2145236,B767 Captain reported releasing the brakes without acknowledging receipt of the dangerous goods due to not receiving the form and summary.,Human Factors
1840551,B737-800 Captain reported encountering wake turbulence departing SEA in trail of an A321; commenting that spacing appeared insufficient.,Procedure
1881543,Pilot reported being cut off by a vehicle during taxi at FAI airport.,Human Factors
2092046,Air carrier flight crew reported temporary loss of aircraft control during a severe turbulence encounter. Reportedly; the aircraft sustained minor damage in the cabin area and some passengers were thrown from their seats.,Weather
1910514,First Officer reported #1 Engine failed to start using the right hand ignition system. The aircraft was operating with MEL XX-X-##; so Both was selected and the engine started normally. After arrival at destination airport; the flight Crew made a log book entry to ensure the aircraft and MEL were correct configuration.,Procedure
2010692,Pilot reported witnessing an aircraft departing from an intersecting runway while on final approach over the runway threshold. The pilot flew over the other aircraft and completed their landing.,Procedure
2250381,Fractional jet Captain reported a GPS jamming event while on a RNAV arrival in domestic airspace. The Captain changed to heading mode and notified ATC; then the GPS jamming cleared before landing.,ATC Equipment / Nav Facility / Buildings
1797796,Air carrier Ground Personnel reported Hazmat shipment refused due to missing required Hazmat documents as well as being improperly configured for transport.,Procedure
2008352,Maintenance Technicians reported missing a procedural step when deferring a thrust reverser while the aircraft was at the gate prior to departure.,Human Factors
1796402,ZAB Enroute Controller reported a flight crews navigational capability was affected by White Sands Missile Range GPS jamming.,Procedure
2235944,Ramp agent reported a taxiway incursion while an observer in a tug was towing an aircraft on the airport surface to the hangar. When the driver received a clearance to hold short of a taxiway he then crept past the hold short line. The crossing aircraft had to slow down as they became unsure if the tug was going to stop.,Human Factors
2042008,A light sport aircraft pilot reported a rough running engine on initial climb and a return to the airport. While landing they had a brief runway excursion.,Aircraft
2178385,Air carrier Captain reported an NMAC with a light aircraft on descent into PVU.,Airspace Structure
2025534,ARR Tower controllers and C90 TRACON Controller trainee reported the TRACON Controller turned a departing aircraft into a confliction with an aircraft in the Tower pattern. The TRACON Controller did not coordinate their action with Tower and turned the aircraft below the minimum vectoring altitude.,Procedure
1936364,Flight Instructor with student reported a gust of wind combine with the student's control inputs caused the aircraft to depart the taxiway surface. After inspecting the aircraft and pushing it back on the taxiway; the flight crew continued with their planned flight.,Ambiguous
2263450,Air carrier Captain reported starting an engine at the gate per Maintenance instructions and not being aware that ramp personnel were near the engine.,Human Factors
1937584,Air carrier First Officer on approach into SFO reported ATC issued Low Altitude Alert.,Human Factors
2272244,B737 Captain reported inadvertent escape slide deployment during boarding at the gate.,Human Factors
1951607,MD-11 flight crew reported after takeoff upon raising gear we encountered L MAIN gear UNSAFE(RED) and secondary UNSAFE (Red) indication on configuration page. The flight crew ran the check lists and QRH and restored system functions. The flight crew continued to destination airport and made a precautionary landing.,Aircraft
1812750,Light Transport aircraft First Officer reported a CFTT event during approach to HWD airport.  The crew immediately corrected after ATC made them aware of the issue.,Human Factors
1837145,B737-800 flight crew reported a fuel imbalance after departure. The crew ran the QRH checklist and determined there was a possible fuel leak. The crew made the decision to shutdown the suspect engine and return to their departure airport for maintenance.,Aircraft
2071374,B737 flight crew reported engine malfunction in cruise flight. Flight crew diverted and landed uneventfully.,Aircraft
2198388,Air carrier pilot reported they were assigned a gate at MBPV/PLS airport that was not listed on Jeppesen charts. Pilot also reported confusing taxi instructions along with a lack of ground support created multiple hazardous situations.,Airport
2220061,PA-34 Flight Instructor reported during landing the aircraft started leaning to the right and the right main landing gear was retracting resulting in the propeller making contact with the ground.,Aircraft
2211750,Air taxi pilot reported a ground conflict with a vehicle on the runway on approach for landing. They decided to land due to icing conditions.,Ambiguous
1886762,Captain reported the PFD malfunctioned during an ILS approach to AVP airport. While attempting to resolve the issue; the flight crew received and responded to a terrain warning. Captain cited an incorrect altitude selection and possible 5G interference as contributing factors.,Ambiguous
2048404,General aviation Flight Instructor reported a near miss with another aircraft in the traffic pattern during a training flight. The tower instructed the other aircraft to perform a maneuver to separate the traffic and changed the Instructor pilots landing sequence to provide more separation in the traffic pattern.,Procedure
1793504,An air carrier pilot reported GPS jamming.,ATC Equipment / Nav Facility / Buildings
2012075,DA-42 Twin Star multi-engine aircraft pilot reported loss of directional control due to gusty wind conditions during take-off. Pilot regained control and rejected take-off.,Weather
1792587,Pilot reported experiencing radio and GPS problems when trying to activate the runway lights.,Aircraft
1794858,Flight crew reported the First Officer hand flying a steeper than usual Visual Approach with a terrain warning in the flare.,Human Factors
1791803,A TRACON Controller reported new RNAV SID and STAR procedures at their facility do not provide procedural separation between arrivals and departures.,Procedure
1827200,C320 pilot reported landing without clearance due to low fuel caused by a go-around and conflict with military jet aircraft and a commercial passenger jet that didn't clear the runway in time.,Procedure
2125388,B767 First Officer reported encountering wake turbulence climbing through FL345 from a preceding aircraft on their trans-Atlantic route.,Ambiguous
2262832,A pilot reported they descended below their assigned altitude and received a Low Altitude Alert from ATC.,Human Factors
1919074,A320 Captain reported a 'dirty socks' odor while parked at gate. The flight crew completed appropriate procedures and requested maintenance who had everyone deplane for troubleshooting.,Aircraft
2185293,Air carrier Captain reported uncommanded aircraft movement on the ramp when the aircraft parking brake was released without a tug attached and then the engines started resulting in the aircraft movement. The ground personnel told the Captain to stop the aircraft; the Captain set the brakes; and no damage or injury occurred.,Human Factors
1780620,Air carrier Dispatcher reported a near-collision occurred on the ramp in EWR with two aircraft pushing back from adjacent gates.,Human Factors
1916230,B757 flight crew reported the left engine flamed out during cruise and the crew attempted restart. Restart was unsuccessful; so a diversion was made for a precautionary landing.,Aircraft
1935325,B737 pilot reported loss of pressurization at 37;000 feet required an immediate descent to 10;000 feet.,Aircraft
1820448,Captain reported an LSAS system failure caused control issues on descent and approach to landing resulting in a precautionary landing.,Aircraft
1851499,Helicopter pilot reported an NMAC while turning onto final approach; which led the pilot to take evasive action and land on a parallel taxiway. Pilot stated that the Tower Controller had not advised of the conflicting aircraft.,Ambiguous
1798506,Flight instructor reported experiencing a loss of aircraft control caused by a wind gust; resulting in departure from the runway surface and aircraft damage.,Human Factors
2170081,PA-34 Flight Instructor reported that the student pilot retracted the landing gear instead of resetting the wing flaps; resulting in a gear collapse on the runway. Pilots secured the aircraft and evacuated without injury.,Human Factors
1879081,MD-11 flight crew received a level 2 HYD 1 OFF alert and elected to monitor systems and continue to destination airport.,Aircraft
2203854,Air carrier pilot reported they initiated a go around when they observed a vehicle on the runway.,Human Factors
1798389,GA pilot reported a loss of communication with the ATC Center resulting in an ADS-B traffic alert.  Reporter cited possible COVID-19 related ATC staffing issues may have contributed to the event.,Staffing
2067515,Captain reported a course deviation when cleared by ATC to BEETS during climb out. When notified by ATC of the deviation; ATC further clarified the name of the fix was BEADS; not the similar sounding BEETS.,Human Factors
1845926,Air Carrier First Officer reported a fume event during preflight at gate. Passengers and flight crew deplaned during maintenance action.,Aircraft
1897776,A320 flight crew reported a Green Hydraulic System Reservoir Overheat light illuminated in flight. The flight crew performed the QRH procedures and secured the Green system Pump. The flight crew requested priority handling and reactivated the Green System Pump closer to the destination airport to conduct a precautionary landing.,Aircraft
1889638,CRJ-700 Lead Technician reported that the incorrect length fasteners were used during the replacement of a malfunctioning AOA sensor; resulting in an air leak in an RVSM critical area.,Human Factors
1974826,A Customer Service/Gate Agent reported yellow stow circles and other paint lines on the ramp have faded away which could result in an improper jet bridge positioning.,Airport
2089609,C182 pilot reported entering a runway without an ATC clearance. The pilot quickly exited the runway; but the aircraft on final approach had to perform a go-around.,Human Factors
2303632,Air carrier Captain reported abruptly stopping the aircraft due to ground vehicle on service road failing to yield to the airplane.,Airport
2109965,Air carrier flight crew reported a low altitude alert from ATC during in the climb. The flight received ATC vectors on course and continued the climb.,Human Factors
2216115,B767 First Officer reported a high speed rejected takeoff due to an airspeed discrepancy.,Aircraft
2219990,C172 Flight Instructor who reported loss of engine power on initial climb was able to descend back down and land.,Aircraft
2231662,B737 flight crew reported windshield de-ice system failure resulted in a divert to avoid weather.,Aircraft
1800037,GEG TRACON Controller reported they issued a clearance that placed an aircraft below the Minimum Vectoring Altitude. The Controller's radar map was inaccurate and the Low Altitude Alert did not function.,Human Factors
2240997,Air carrier pilot reported there are insufficient FAA regulations and references in flight operations manuals for ATC equipment failures that could impact multiple aircraft; especially during holding procedures for ILS approaches at EWR.,Procedure
1956254,Captain reported refusing the aircraft over confusion and communications issues regarding the MEL procedures for a Engine Oil filter Bypass Light Illuminated.,Aircraft
1931582,Flight Instructor reported an NMAC during departure climb from DPA when an aircraft departing the parallel runway flew directly overhead them. Reportedly; ATC was not aware of the conflict.,Procedure
2267307,C560XL Captain reported finding a discrepancy between the AFM and the performance data from Dispatch and noted that the performance data provided on the release did not follow the FAR.,Aircraft; Aircraft
2032685,Air carrier Captain reported they deviated slightly from the SID due to a discrepancy between the Captain's and First Officer's Flight Director and Navigation Display.,Aircraft
1780939,B737 Captain reported a track heading deviation due the aircraft not being able to intercept the LOC during final approach resulting in a go-around.,Aircraft
