acn,Report_1_Synopsis,Assessments_Primary_Problem
1819866,Pilot reported sun in eyes interfered with seeing the altimeter; resulting in a descent towards the ground at low altitude.,Environment - Non Weather Related
1906075,TRACON Controller reported their trainee issued a descent clearance to an aircraft which placed it below the Minimum Vectoring Altitude.,Airspace Structure
1783189,Flight Attendant reported concern after a passenger stated he and his wife had recently recovered from COVID-19.,Environment - Non Weather Related
2276669,General aviation pilot reported the DYO NDB on the RUT ODP is incorrectly listed as a fly-by waypoint instead of a flyover waypoint; and could cause the GPS to direct the aircraft into the path of mountainous terrain.,Chart Or Publication
2029012,Air carrier Captain reported excessively bright lighting in the MEM gate area floods the flight deck with light; making it difficult to see the aircraft marshaller while taxiing into the gate.,Environment - Non Weather Related
2030880,A tower Local Controller reported a taxiing air carrier had an engine fire. There was confusion between the Controller and Supervisor as to the proper procedure for handling the situation.,Company Policy
2114131,Pilot taxiing at night at 0J4; Florala Municipal Airport; reported a runway excursion and contact with a runway light which was not operating or visible at night.,Airport
2068831,GA pilot in the traffic pattern at nighttime reported Tower extended their downwind toward an unlit mountain peak which they were aware of but could not see.,Airspace Structure
1830953,Technician reported not reinstalling the Captain's Air Data Module after troubleshooting and installing the radar transceiver; causing an air turn back and precautionary landing.,Incorrect / Not Installed / Unavailable Part
2167133,Gulfstream G650 pilot reported a false localizer capture resulted in a course deviation and a terrain warning from ATC.,ATC Equipment / Nav Facility / Buildings
1811655,C152 instructor pilot reported their feet became entangled in their headset cord while taxiing and they could not stop the aircraft at the hold short line they were supposed to hold short of.,Equipment / Tooling
1844709,ZJX Center Controller reported insufficient ATC staffing and lack of sector flow management initiatives despite requests from Controllers resulting in sectors overloaded with traffic; frequency congestion; and Controllers refusing to take handoffs. The reporter was unable to concentrate and lost ability to perform required tasks. Other Controllers could not return to the work area after breaks due to undue stress.,Company Policy
1782525,Air carrier First Officer reported receiving an amended clearance due to a ATC Center going ATC Zero and questioned if they had violated an FAR by flying in uncontrolled airspace.,Environment - Non Weather Related
2011103,B737 Captain reported ILS signal interference causing autopilot to pitch up and down excessively during an ILS PRM approach. Captain reported descending below crossing restriction on the approach when taking over aircraft control after the autopilot disconnected.,ATC Equipment / Nav Facility / Buildings
2197980,Pilot reported a NMAC while departing IFR as a result of ATC not separating traffic.,Airspace Structure
2273401,Fractional jet First Officer reported putting in the wrong fix; GOLLF instead of the correct fix GOLFF; and was heading towards the wrong direction until ATC queried the flight crew.,Chart Or Publication
1958505,A Tower Controller reported they issued an aircraft on ten mile final a left 360 delay vector which place the aircraft below the Minimum Vectoring Altitude.,Airspace Structure
2178681,Air carrier flight crew reported ATC instructed them to go around at 400 feet AGL due to a conflict with landing traffic.,Airspace Structure
1877455,B737 NG Captain reported encountering wake turbulence on short final approach to DEN in trail of a B757.,Environment - Non Weather Related
1782724,TRACON Controller reported missing a readback which resulted in the aircraft being below the Minimum Vectoring Altitude.,Environment - Non Weather Related
2234353,A Center Controller working TRACON Airspace which was ATC Zero due to staffing reported a departing aircraft climbed to an altitude below the Minimum Vectoring Altitude due to misunderstanding their clearance.,Company Policy
1991941,Air carrier flight crew reported possibly flying through a thin layer of volcanic ash during cruise. The crew maintained the flight plan buffer distances and submitted a PIREP.,Environment - Non Weather Related
1834356,A Center Controller reported two VFR military aircraft from Eglin AFB entered a holding pattern at non VFR altitudes (14;000 and 15;000 feet) adjacent to R2915 and in conflict with the major traffic flows through the sectors. The previous day the military's request for these aircraft to perform this operation on IFR flight plans had been denied.,Company Policy
2225833,A321 First Officer reported uncommanded aircraft movement due to towbar breakaway during pushback resulted in loss of aircraft control and damage to nose gear and towbar.,Airport
1883495,Student Pilot with an Instructor reported colliding with a Mylar party balloon on final approach. Minor damage resulted. A few scratches and a small dent near the tail section of the aircraft. There was no damage done to the control functions.,Environment - Non Weather Related
1846231,Pilot reported confusing airport taxiway markings and taxi instructions at ACY airport.,Airport
1841738,E145 Captain reported executing a go-around after encountering wake turbulence on short final.,Environment - Non Weather Related
2228353,General aviation pilot reported a near miss with a military helicopter while entering the traffic pattern at a non-towered airport. Reporter was able to safely maneuver away and noted the military aircraft using civilian fields for training overwhelms and creates constant conflict with civilian traffic.,Airspace Structure
2160818,Pilot and safety pilot of a light twin aircraft reported returning to departure airport for a safe landing after striking a deer on takeoff. Post flight inspection showed damage to the left propeller.,Airport
1948944,Center Controller reported an aircraft on an instrument approach took evasive action in response to a TCAS/RA for a VFR aircraft not in communication with ATC.,Environment - Non Weather Related
1792204,Pilot reported inadvertent airspace violation due to poor chart verbiage.,Airspace Structure
1839928,Air carrier Captain reported ATC frequency does not match published frequencies on Jeppesen approach charts for DEN airport.,Chart Or Publication
2000957,PA28 pilot reported an NMAC with a military trainer type aircraft in the pattern traffic of a non-towered airport requiring evasive action to avoid a collision.,Airport
1873407,Air carrier flight crew reported autoflight anomalies in cruise flight in the vicinity of MEI VORTAC; citing 5G interference as possibly contributing.  Reporter noted that two other air carrier flights in the same area were experiencing similar issues.,Environment - Non Weather Related
1826118,Corporate Captain reported a hazardous arrival procedure and accompanying charts that require modification to conform more closely with safe air traffic control for arrival to MQY airport.,Chart Or Publication
1857234,Air carrier flight crew reported they turned on to the wrong taxiway at EWR Airport and cited confusing taxiway signage and fatigue as contributing factors.,Chart Or Publication
1906608,Pilot reported being advised after landing that the aircraft had damage to the exterior from an undetermined cause.,Environment - Non Weather Related
1784952,Air carrier Captain deadheading on a company flight reported a passenger would not conform to the face mask policy and was hostile; aggressive; belligerent towards the flight attendants.,Environment - Non Weather Related
1799442,Pilot reported the PAPI's at HPN Runway 16 being reversed.,ATC Equipment / Nav Facility / Buildings
2017620,A321 Captain reported abnormal bleed air pressure on left engine during climb. Captain returned to departure airport due to icing restrictions and made an overweight landing.,MEL
2147917,Reporter identified a safety concern regarding uncharted landmarks on BFI VFR transition routes and difficulty in locating the BFI VFR transition route procedures through normal flight planning methods.,Chart Or Publication
1837143,Air Carrier flight crew flying into Tel Aviv airport reported descending below a crossing restriction on the AMOS1E STAR due to distractions from previous GPS outages during their flight and fatigue.,Environment - Non Weather Related
1877379,CRJ-700 First Officer reported encountering wake turbulence in cruise flight at FL230.,Environment - Non Weather Related
1806767,Air carrier flight crew reported being advised the aircraft had a reported tail strike that they had not noticed; and distractions from wearing masks to do required checks.,Environment - Non Weather Related
1995739,Air carrier pilot reported a laser event on short final Runway 36R at MEM originating from a loading dock.,Environment - Non Weather Related
1904331,Flight Attendant reported they were too fatigued to work after getting 6 hours of sleep over a 50 hour period due to company scheduling policies and flight delays.,Company Policy
2168444,Air carrier Captain reported the IAD Ramp area; multiple taxiway lines; and the lead-in line and gate centerline for multiple gates are obscured and difficult to see when it is wet and/or during nighttime conditions.,Airport
1993416,Center Controller reported an aircraft conducting an RNAV approach flew off course and began to descend to an altitude while not on a published segment of the approach. The controller issued a low altitude alert and then climbed the aircraft to be above the minimum IFR altitude.,Chart Or Publication
1870372,Air carrier Captain reported losing ADS-B and GPS signals inbound to DEN. ATC advised the crew several other aircraft were experiencing ADS-B and GPS system issues possibly due to 5G interference.,Environment - Non Weather Related
1841605,An Air Carrier pilot reported GPS jamming caused an unstable approach at night. The reporter stated the jamming was a known issue but they were never advised and ATC vectored them to an RNAV Approach.,ATC Equipment / Nav Facility / Buildings
2227210,Ground vehicle driver reported brake failure of power stow resulted in loss of control and contact with aircraft.,Equipment / Tooling
1903095,Air carrier pilot reported the ramp crews are not compliant with new push back procedures at many different airports.,Company Policy
2303860,Air carrier Captain reported there were multiple taxiways that were closed at IAH but not stated on the ATIS and the traffic cones identifying the closures were unlit.,Airport
1816007,TRACON Controller reported during that OJT an aircraft descended below its assigned altitude and flew below the Minimum Vectoring Altitude.,Airspace Structure
2121158,A321 flight crew reported an MEL deferral on a flight control computer was incorrectly performed by maintenance.,Equipment / Tooling
1855563,EMB-145 Captain reported going to work while extremely fatigued and attributed the challenging schedules to staffing issues at their company.,Company Policy
1854489,Air Carrier Captain reported DG pallet was inadequate for proper DG cargo transport. Captain refused DG cargo.,Incorrect / Not Installed / Unavailable Part
2123801,General aviation pilot flying reported the runway 36L hold markings at VQQ were faded and covered by tall grass.,Airport
2197603,Air carrier Captain reported they descended below the published altitude of an RNP Approach and ATC issued a low altitude alert.,Software and Automation
2074390,EMB-145 flight crew reported receiving a terrain warning during approach in IMC. Flight crew climbed to safe altitude and were vectored for the approach.,Environment - Non Weather Related
1998751,Center Controller reported they took over a sector with an aircraft entering an area below the minimum IFR altitude.,Airspace Structure
1802220,Pilot reported differences in MEL procedures listed for a TKS deicing system that was not installed on the aircraft.,MEL
2282971,EMB-145 pilot reported during descent they got an amber CAS message for pressurization auto fail. They ran the QRH and manually operated the pressure controller and landed safely.,ATC Equipment / Nav Facility / Buildings
1835679,Maintenance Technician reported poor WiFi at LAX.,Environment - Non Weather Related
1832221,A Center Controller reported a C208 rapidly descended below its assigned altitude; was not responding to ATC calls; and flew below the Minimum IFR Altitude; later the pilot established communications; climbed to a safe altitude and returned to its point of departure.,Airspace Structure
2156858,Pilot reported a prop strike occurred shortly after touchdown when encountering a bump in the runway.,Airport
1856010,MIA TRACON Controller reported a potential loss of separation between two aircraft at a hotspot for VFR traffic near the OPF airport.,Airspace Structure
1980925,CRJ-900 flight crew reported an NMAC event with a balloon while in cruise. The First Officer disconnected the autopilot and promptly executed an evasive maneuver to avoid a collision and afterwards the Captain reported the balloon to ATC.,ATC Equipment / Nav Facility / Buildings
2137291,Captain reported similar sounding fixes; HYVAL and HIVAL; resulted in a clearance deviation.,Chart Or Publication
1905067,Air carrier Captain reported new MetroPlex arrival charts in need of clarification of 'Descend via' clearance and early runway assignment. Current procedures results in high FMS workload in terminal area.,Chart Or Publication
1981502,GA pilot reported failure to announce a time pressured takeoff in close proximity to previous departure; resulted in a NMAC conflict.,Airport
2211901,Air carrier pilot flying reported ramp location spots depicted on the Jeppesen airport diagram are different from the actual spot numbers at MMPR Airport.,Chart Or Publication
1921068,SFO Tower Controller reported a departing aircraft flew off course and below the Minimum Vectoring Altitude.,Airspace Structure
1783389,SFO Local Controller reported an E175 pilot executed a go-around from short final after encountering wake turbulence from another E175 on final approach to the parallel runway.,Environment - Non Weather Related
2285472,Corporate pilot reported there are no NOTAMs or information regarding a TFR around NPA for overflying aircraft.,Chart Or Publication
2229907,Fractional Captain reported a possible GPS jamming event that resulted in the aircraft slowly descending and veering off course and the autopilot disconnecting without any audible alert.,Environment - Non Weather Related
2103515,An air carrier pilot on a night time visual approach reported they received a low altitude alert from ATC.,Airspace Structure
1979585,A320 Captain reported lights from a baggage facility and airport construction obstruct the flight crew's vision at night.,Airport
2078321,Air carrier flight crew reported a bird strike during rotation. Maintenance at the destination found damage to fan blades in the right engine.,Environment - Non Weather Related
1875597,Air carrier Captain reported lack of lighting at JAN airport ramp area.,Airport
1913389,MSY TRACON Controller reported MVA obstruction no longer exists and facility failure to update display resulted in an inaccurate low altitude alert.,ATC Equipment / Nav Facility / Buildings
1894196,B737-800 flight crew reported of being informed several days later of failure to report aircraft damage that was obscured on preflight.,Airport
2000236,Air carrier flight crew reported Low Altitude Alert from ATC on approach.,Software and Automation
1948351,A TRACON Controller reported they attempted to climb an aircraft but lost communications and the aircraft flew below the Minimum Vectoring Altitude. The sector frequencies were taken out of service and the controller was not notified.,ATC Equipment / Nav Facility / Buildings
1790803,TRACON Controller reported an airspace violation and cited not being sure if another sector was open or not open as a contributing factor.,Environment - Non Weather Related
1807408,Air Carrier Captain reported airport taxi chart does not agree with the current airport layout.,Chart Or Publication
1977983,Helicopter pilot reported the inability to use the TXK airport lighting as a visual aid to navigate due to the airport lighting being turned off while the Tower is open at night. Upon questioning; ATC stated the lights are turned off when there are no inbound aircraft as a cost cutting measure.,Airport
1786774,Air Carrier Pilot reported 3 false terrain warnings on approach in a non-RNP aircraft.,Software and Automation
2245415,General aviation pilot reported FYJ's AWOS is inaccurate and is concerned that this can lead to an unknowing pilot being misled by what is reported versus actual winds.,Airport
1870532,Instructor pilot reported the need to take evasive action after encountering a NMAC.,Environment - Non Weather Related
1862809,ZBW Controller reported frequency charting error on a third party chart; and also confusion with the Jeppesen charts for BTV airport.,Chart Or Publication
2112408,Air carrier Captain reported GPS jamming during cruise in a known area of GPS interference. One of the two GPS receivers returned to normal operation later in cruise and the flight continued to destination.,ATC Equipment / Nav Facility / Buildings
2006202,Air carrier Captain reported having difficulty in ensuring wingtip clearance and performing a safety scan due to the IAH RON ramp's poor lighting conditions; especially at night.,Airport
2221113,General aviation Flight Instructor reported there was conflicting chart information and traffic pattern indicators as to the correct traffic pattern at PCZ Airport.,Airport
1892503,B767 Captain reported refusing to operate the aircraft due to an applied MEL that compromised safety during ETOPS operations.,MEL
1910226,Ground Personnel stated they parked the tug too close to equipment and when they backed up they hit a vehicle.,Airport
2103769,ZAU Controller reported IND Tower and SBN TRACON use the same UHF Frequency of 257.8 which caused confusion when the controller attempted to issue frequency change.,ATC Equipment / Nav Facility / Buildings
2145643,Part 107 UAS pilot reported a bird strike during cruise caused the UAS to crash.,Environment - Non Weather Related
1790791,TRACON Controller reported communication problems with an aircraft while the facility was being cleaned/disinfected.,Environment - Non Weather Related
2265787,B767 flight crew reported receiving a radio call from the tug push back operator that the tow bar broke during push back. The Captain set the parking brake; had the nose gear inspected; then ramp crew installed a new tow bar and the push back was resumed.,Airspace Structure
1906846,Pilot reported a NMAC occurred on downwind when another aircraft crossed in front while entering the traffic pattern. Pilot stated this a common occurrence at the airport.,Airspace Structure
2179882,Flight Instructor reported there is a sunken spot on the taxiway at FPR Airport; where the aircraft's propeller nearly made contact with the pavement.,Airport
1791228,Air Carrier Captain reported an VHF radio dead zone.,ATC Equipment / Nav Facility / Buildings
2022066,A320 Maintenance Technician reported that the incorrect part was listed in the Illustrated Parts Catalog (IPC) and needs to be corrected and updated. The installation of the incorrect part as instructed in the current IPC could lead to possible malfunction of the aircraft's thrust reverser system.,Manuals
1981536,TRACON Controller reported a corporate jet on approach crossed through the final approach course and descended below the published crossing restriction resulting in flight below the Minimum Vectoring Altitude.,Airspace Structure
1782911,Commercial jet flight crew reported confusing runway over-run markings at Cheddi Jagan International Airport in Guyana.,Airport
1921052,ZBW Controller reported receiving a a loud squeal heterodyne tone in their ear which caused ear pain while working the Cambridge Sector. The reporter stated they have experienced dozens of these occurrences.,ATC Equipment / Nav Facility / Buildings
2223984,C560XL pilot reported autopilot captured a false glideslope resulting in descent below glidepath and Low Altitude Alert from ATC.,ATC Equipment / Nav Facility / Buildings
2058422,Air carrier ground personnel reported the lack of adequate staffing and lack of clear communication from ramp leadership resulted in last minute cargo reconfiguration of DG cargo.,Staffing
2010947,Aircraft Maintenance Technician reported pressure from Maintenance Control department to install incorrect part onto airplane.,Incorrect / Not Installed / Unavailable Part
2111566,ARTCC controller reported having control for an aircraft from another facility but the frequency used didn't provide coverage at the aircraft's position and altitude while the aircraft was on a heading and altitude that would be below the MIA. Communications was established and the aircrew reported VMC and was issued a climb to the MIA.,ATC Equipment / Nav Facility / Buildings
1800752,Flight Attendant reported that life vest installed on an in-service aircraft were from a retired aircraft type and not approved for installation on this aircraft.,Incorrect / Not Installed / Unavailable Part
2145606,A pilot departing AWG non-towered airport reported during takeoff roll they passed 200 feet in front of an aircraft taking off from an intersecting runway.,Airport
1783995,Air carrier flight crew reported receiving a message from Dispatch during climbout that destination TRACON was closing before arrival.  Dispatch told crew to return to departure airport.,Environment - Non Weather Related
1806995,Air carrier First Officer reported the Runway 34R SEATTLE 7 SID initial departure heading out of SEA diverges from intended outbound course.,Chart Or Publication
2119185,Aircraft tug driver reported tug steering system failure while towing aircraft.,Equipment / Tooling
1790790,A TRACON Controller reported an aircraft descended below their assigned altitude and flew below the Minimum Vectoring Altitude.,Airspace Structure
1816271,Pilot reported confusing ground markings leading to a spot out of the terminal area in MIA.,Airport
2086285,Air carrier Captain reported the dimly painted taxiway markings at SEA airport combined with dark and rainy conditions make the taxi lines difficult to see.,Airport
1887885,Corporate jet flight crew expressed concerns about the new Runway 18 VFR Departure procedure out of SPS.,Environment - Non Weather Related
1806555,Air carrier First Officer reported collision hazards on visual approach from STAR and indicated need to highlight them on Jeppesen approach chart to OMA airport.,Chart Or Publication
1920665,An Air Carrier flight crew departing HNL reported they followed an incorrect taxiway resulting in a potential conflict with an arriving aircraft turning off the runway. The crew reported poor taxiway signage at HNL is confusing.,ATC Equipment / Nav Facility / Buildings
1913318,Air Carrier Maintenance Technician reports creating an RII in error for 777 IDG feeder cable installation.,Company Policy
2186908,ERJ 145 Captain reported that the Captain of the inbound flight reported the aircraft had a bird strike during approach. A maintenance inspection was accomplished on the ground and damage to the number 1 engine was found.,Environment - Non Weather Related
2031508,Air carrier pilot reported abruptly braking to avoid a collision with an airport vehicle while taxiing that was escorting two other vehicles.,Airport
2082101,Air carrier pilot reported that while enroute from SJU to MEM the flight crew was navigating to fix VANZE but their clearance was direct VENDS. The confusion was due to the similar sounding fix names.,Chart Or Publication
1833902,Air Carrier Captain reported there is an unlighted island that is very difficult to see at night or during inclement weather during taxi; Lima between spot 20 and 23; at LGA.,Airport
1834488,Air carrier Captain reported GPS jamming as probable cause of GPS navigation and transponder failure; instead of temporary interference.,ATC Equipment / Nav Facility / Buildings
2176069,Air carrier pilot reported the need to take evasive action during taxi when a tug drove in front of the aircraft.,Airport
2010100,Air carrier First Officer reported a taxiway and runway incursion at ORD and the need for a hot spot designation at the intersection of taxiways A2 and G.,Chart Or Publication
2042505,S46 TRACON Controller reported an aircraft descended below their assigned altitude and flew below the minimum vectoring altitude.,Airspace Structure
2296690,C172 Flight Instructor and student reported large fluctuations in engine RPM during cruise. Flight crew diverted and landed safely.,MEL
1889463,Ground Personnel reported baggage loader contact with aircraft.,Equipment / Tooling
1901475,TRACON Controller reported an aircraft departed a non towered airport located adjacent to the final approach course at SAT and climbed on a conflicting course with an IFR arrival on final approach.,Airspace Structure
1783607,Ground employee reported plastic shields should be added to the tables in a break room.,Environment - Non Weather Related
2064324,Air carrier pilot reported difficulty viewing instructions from the aircraft marshaller during gate arrival due to bright lights from the jetway that obscure pilots' vision.,Airport
1984063,A319 flight crew reported confusion and communications problems with MEL recording and release information. An additional MEL was overlooked that was missing. The discrepancies were not discovered until after departure.,MEL
2242176,Air carrier Captain reported an NMAC event during approach with a military aircraft attempting to land on same runway. The air carrier took evasive action to avoid a collision.,Airport
2293034,EMB-505 Captain reported electrical and cabin pressurization malfunction during cruise. Flight diverted and landed safely.,Airport
1845815,Recreational / Hobbyist UAS pilot reported they had a near miss with a military helicopter during a training flight and took evasive action.,Environment - Non Weather Related
2007512,Air carrier Captain reported the proximity or distance sensor of the AccuPark system guidance at LPPT/LIS remote park stand 412 was malfunctioning and preemptively stopped to get assistance from ramp personnel.,Airport
1972973,MYF Tower Controllers reported a Cessna Citation failed to follow initial departure instructions resulted in a NMAC.,Airport
1854441,Airbus Captain reported discrepancies between the charted procedure and the FD PRO App on the PHIBO3 arrival to EWR.,Software and Automation
2124387,General aviation pilot flying reported the pilot-controlled lighting system at PVB Airport was inoperative and there were no NOTAMs for the issue.,Airport
1921604,Flight Instructor reported the need for evasive action during landing to avoid a maintenance worker on the runway.,Airport
1864612,Air carrier Captain reported FO steep approach angle initiated a terrain alert due to older technology limitations.,Software and Automation
2237637,General aviation pilot reported newly installed power lines with wire markers are lower than the existing power lines and the higher power lines do not have any warning indicators.,Environment - Non Weather Related
1816033,Center Controllers reported the Radar Controller issued a descent clearance to an altitude below the Minimum IFR Altitude and did not notice it until the MSAW activated.,Airspace Structure
2220876,Helicopter pilot reported a NMAC with another helicopter departing from a rooftop.,Airspace Structure
2087539,Air taxi Captain reported there are nonstandard or mislabeled taxiway identifiers at ANE airport that result in confusion in determining taxiways.,Airport
2162686,Flight crew reported spotting another aircraft at the opposite end of the runway lining up to depart at a non-towered airport. The flight crew taxied off the next exit to avoid a conflict; waited for the other aircraft to take off; and then retook the runway for departure.,Airport
1879454,A Pilot who routinely flies into Cleveland; Texas airport (6R3) reported the PAPI and runway lighting have been out of service for three years and the outages are not published in a NOTAM. The reporter stated the airport manager parks a pickup truck with the headlights on to facilitate nighttime operations.,Airport
1800220,Air carrier Captain reported that a foreign airport under COVID-19 closure scheduling does not allow for proper pre-flight procedures.,Environment - Non Weather Related
1809466,POU Tower Ground Controller reported a hanger blocks the view of the runway and issues related to the blockage.,Environment - Non Weather Related
1906479,Captain reported animals and an airport vehicle on the intended landing runway. ATC directed a missed approach to a different runway.,Environment - Non Weather Related
1935306,Ground personnel report stated a loud boom heard as jetbridge made contact with aircraft.,Airport
1865380,B737 Flight Crew reported a UAS passed near the aircraft while on final approach into SFO.,Environment - Non Weather Related
2031790,Air carrier Captain reported the inability to routinely acquire the SFB ATIS information in a timely manner due to interference from the shared frequency of SAV Tower.,ATC Equipment / Nav Facility / Buildings
1898723,TRACON Controller trainee and air carrier pilot reported due to a miscommunication the air carrier descended below their assigned altitude and flew below the Minimum Vectoring Altitude.,Airspace Structure
2207769,STT Tower Controller reported a tall-masted sailboat was in unsafe proximity to approach end of landing runway resulting in a go-around and a critical ground conflict. Controller also reported failed enforcement of vessels to remain clear of runway.,Environment - Non Weather Related
1870180,B737 flight crew reported encountering possible 5G interference while inbound to IAH.,Environment - Non Weather Related
2227686,Flight Instructor reported the CTAF/UNICOM frequency at the non-towered U76 Airport provides the weather advisory broadcast as well as control over the airfield lighting at the airport; and also shares that same frequency with several other surrounding airports. This results in frequency congestion and along with the growing traffic at U76; creates the potential for a conflict in the traffic pattern.,ATC Equipment / Nav Facility / Buildings
1783773,Captain reported refusing the aircraft after ELAC2 was placed on MEL.,MEL
2095696,Challenger 650 pilot reported a runway excursion due to crosswind created by a passing train.,Environment - Non Weather Related
1921902,Air Carrier Flight Crew reported a bird strike on departure which resulted in engine damage and a return to departure airport.,Environment - Non Weather Related
2063535,Air carrier Ground Personnel reported they were notified that HAZMAT they scanned into the computer system did not get properly processed in the system.,Software and Automation
2220074,GA pilot on short final to MTJ; a non towered airport; reported an NMAC with an air carrier on short final for an intersecting runway not communicating on CTAF.,Airport
1874765,Small jet flight crew reported loss of directional control during taxi in snowy and icy conditions at BED that resulted in an excursion off the taxiway.,Airport
2221946,Air carrier ramp personnel reported the stop marks and VSR are faded and difficult to see in rainy and night time conditions.,Airport
2194311,Air carrier First Officer reported they observed jet blast blowing dust and debris onto construction workers and their equipment across from Concourse A on Taxiway AS at DEN.,Airport
2206415,ORD Tower Controller reported aircraft data tags frequently drop off their display while aircraft taxi across an area of the airport.,ATC Equipment / Nav Facility / Buildings
2199087,CE-680 Captain reported experiencing GPS anomalies apparently related to solar activity.,Environment - Non Weather Related
1915593,Pilot reported an NMAC during approach to BLM airport.,Environment - Non Weather Related
2306046,EMB-145 flight crew reported a terrain alert during missed approach.,Airport
1975511,B737 flight crew reported the aircraft wingtip came into contact with a blast fence during pushback at LGA even though the pushback was accomplished correctly to the right spot.,Airport
1870316,Air carrier flight crew reported loss of GPS signal while in descent to Denver airport.,ATC Equipment / Nav Facility / Buildings
2145601,AT6 pilot conducting aerial application reported a NMAC with another aerial spraying aircraft requiring them to take evasive action which resulted in a possible encroachment into Class C airspace.,Airspace Structure
2122193,PA 28R instructor pilot and student reported a landing gear malfunction which resulted in an airspace incursion. The pilot exited the airspace; then landed safely.,Airspace Structure
1967489,Pilot reported a navigational problem with the Honeywell Epic system. The pilot states ATC and Honeywell are aware of the navigational issue.,Software and Automation
1889362,UAS Visual Observer reported that after liftoff the UAS began climbing rapidly and was at risk of exceeding 400 ft. AGL. The UAS was landed and it was learned the autonomous flight plan was created using meters instead of feet.,Software and Automation
1875823,Air carrier pilot reported the taxi diagram at MSLP is not correct.,Airport
2063619,Pilot reported an observed discrepancy between the depiction of Taxiways A1 and T from Runway 3L at PRC and the actual taxiway location.,Chart Or Publication
1945571,A BNA TRACON Controller reported they had to vector an arriving aircraft away from a conflicting VFR aircraft not in contact with ATC. The reporter states this is an ongoing problem and the '...VFR traffic around BNA has become unsafe and too much for safe passenger travel.',Airspace Structure
1870309,Air carrier Captain reported loss of ADS-B 1 and 2 on departure out of DEN. Reporter cited 5G as possibly contributing; and the systems returned to normal a few minutes later.,Environment - Non Weather Related
1899243,Flight crew reported receiving a 'caution terrain' aural warning message due to an antenna near the FAF to ORF airport.,Environment - Non Weather Related
2104997,Air carrier captain reported the ground equipment safety lines at a gate are missing or need repainting.,Airport
1915538,Twin Engine Pilot reported the BKL taxi chart does not show taxiway G as part of the ramp area. This caused confusion and a possible runway incursion.,Chart Or Publication
1886769,Pilot reported a terrain warning during visual approach into ROA Airport.,Environment - Non Weather Related
2123096,Pilot reported the airport diagrams for ANI airport is missing Taxiway G and Taxiway TA.,Airport
1808466,Houston Center Controller reported unsafe practices regarding Management and weather.,Environment - Non Weather Related
2169790,Air carrier Captain on approach reported low altitude alert from ATC due to glideslope anomaly.  Flight crew corrected and landed normally.,ATC Equipment / Nav Facility / Buildings
1799209,B737 MAX 9 Captain reported the shear pin broke during pushback and they failed to have maintenance inspect the aircraft as required.,Company Policy
1831191,An Air Carrier pilot reported a foreign air carrier does not include crew rest time during flights as flight time and is not complying with FAR's regarding crew rest after long overseas flights.,Company Policy
1798717,Eyewitness Pilot reported observing a critical ground conflict during taxi when an aircraft taxiied onto a runway while another aircraft was on takeoff roll at ORD airport.,Environment - Non Weather Related
1791799,TRACON Controller reported numerous issues while working traffic and problems associated with the workload and staffing.,Staffing
2170168,Air carrier Captain reported after conclusion of spoofing airspace procedures; the flight crew was unable to recover both GPS units; had ADS-B In problems; no SATCOM voice; and also eventually lost CPDLC capability.,Environment - Non Weather Related
2194749,A student pilot reported a NMAC in the VFR pattern at a non-towered airport.,Environment - Non Weather Related
2045198,Air carrier flight crew reported GPWS terrain warning on approach believed to be a system malfunction.,Software and Automation
2091904,Pilot reported accidentally taxiing onto an unmarked service road on a large paved area at SYR after mistaking it for a taxiway.,Environment - Non Weather Related
1882536,Air carrier pilot reported receiving a Terrain Proximity Alert on final approach.,Airspace Structure
1956733,Pilot reported loss of control while conducting an ILS approach to a non towered airport.  The reporter believes the event was caused by a vehicle driving by the ILS critical area.,ATC Equipment / Nav Facility / Buildings
2084287,TRACON and Tower Controllers reported traffic landed on closed parallel runway at night; without a clearance. Controllers reported that the lit X closure indicator was not in place and it was difficult for tower to determine aircraft runway alignment at night.,Airport
1880132,A Part 107 pilot reported accidentally flying their UAS into small tree branches causing it to fall into a lake.,Environment - Non Weather Related
1802425,Air carrier Captain reported not performing the Before Taxi Checklist and subsequently had not set the flaps to the takeoff setting prior to moving the aircraft.  Reporter cited distraction from dealing with face mask issues in the cabin area may have contributed to the event.,Environment - Non Weather Related
2159617,Air Carrier Captain reported responding to an RA during approach and receiving a low altitude alert from ATC.,Airspace Structure
2002540,B737 First Officer reported after pulling to the gate a Ramper alerted the flight crew that a ground power receptacle was on fire; which made part of the aircraft catch on fire as well. The flight crew requested assistance from Ramp Control and told the flight attendants to get the passengers off through the jetway.,Equipment / Tooling
1791392,TRACON Controller reported having to repeat transmissions to pilots because they could not understand the instructions; due to reporter wearing a face mask.,Environment - Non Weather Related
1927681,B737-800 Captain reported refusing an aircraft after the previous Captain had also refused the aircraft. The aircraft had a deferred air conditioning pack and required repair. Ground temperatures were very high.,MEL
1784943,Air carrier First Officer reported the Captain chose not to wear a mask for safety of flight concerns while wearing glasses.,Environment - Non Weather Related
1781711,Air carrier Captain reported not making a crossing restriction after realizing they had overflown the top of descent.,Environment - Non Weather Related
2211828,B737 First Officer reported during final approach they were instructed by ATC to go-around due to traffic not clearing the runway quickly enough.,Airport
1827510,A Center Controller reported a conflict between an air carrier departure and a satellite airport skydiving operator who was conducting jumps in the vicinity of charted departure and arrival procedures. The reporter stated they anticipate the same situation will become a recurring problem.,Company Policy
